LocID,Period,Year,Trajectory,Mig
246,2023,2023,1,0.00685
246,2024,2024,1,0.00383
246,2025,2025,1,0.00291
246,2026,2026,1,0.00355
246,2027,2027,1,0.00548
246,2028,2028,1,0.00558
246,2029,2029,1,0.00262
246,2030,2030,1,0.00522
246,2031,2031,1,0.0068
246,2032,2032,1,0.0027
246,2033,2033,1,0.00238
246,2034,2034,1,0.0028
246,2035,2035,1,0.00235
246,2036,2036,1,0.00211
246,2037,2037,1,0.00246
246,2038,2038,1,0.00305
246,2039,2039,1,0.00346
246,2040,2040,1,0.00211
246,2041,2041,1,0.00121
246,2042,2042,1,0.00273
246,2043,2043,1,0.00437
246,2044,2044,1,0.0055
246,2045,2045,1,0.00701
246,2046,2046,1,0.00754
246,2047,2047,1,0.00702
246,2048,2048,1,0.0055
246,2049,2049,1,0.00075
246,2050,2050,1,-0.00153
246,2051,2051,1,-0.00073
246,2052,2052,1,0.00242
246,2053,2053,1,0.00212
246,2054,2054,1,0.00279
246,2055,2055,1,0.00367
246,2056,2056,1,0.00165
246,2057,2057,1,0.00398
246,2058,2058,1,0.00427
246,2059,2059,1,0.00387
246,2060,2060,1,0.00371
246,2061,2061,1,0.00413
246,2062,2062,1,0.00645
246,2063,2063,1,0.00821
246,2064,2064,1,0.00864
246,2065,2065,1,0.00902
246,2066,2066,1,0.0103
246,2067,2067,1,0.00414
246,2068,2068,1,0.00393
246,2069,2069,1,0.00178
246,2070,2070,1,0.00201
246,2071,2071,1,0.00531
246,2072,2072,1,0.00634
246,2073,2073,1,0.00259
246,2074,2074,1,0.00106
246,2075,2075,1,-0.00056
246,2076,2076,1,-2e-05
246,2077,2077,1,0.00065
246,2078,2078,1,0.00386
246,2079,2079,1,0.00561
246,2080,2080,1,0.00452
246,2081,2081,1,0.00339
246,2082,2082,1,0.00386
246,2083,2083,1,0.00608
246,2084,2084,1,0.00489
246,2085,2085,1,0.00271
246,2086,2086,1,0.00549
246,2087,2087,1,0.00634
246,2088,2088,1,0.00707
246,2089,2089,1,0.00468
246,2090,2090,1,0.00674
246,2091,2091,1,0.00802
246,2092,2092,1,0.00466
246,2093,2093,1,0.01011
246,2094,2094,1,0.00979
246,2095,2095,1,0.01103
246,2096,2096,1,0.00886
246,2097,2097,1,0.00874
246,2098,2098,1,0.00676
246,2099,2099,1,0.00924
246,2100,2100,1,0.0106
246,2023,2023,21,0.00685
246,2024,2024,21,0.0019
246,2025,2025,21,-0.00098
246,2026,2026,21,-0.00113
246,2027,2027,21,-0.00122
246,2028,2028,21,-0.0032
246,2029,2029,21,-0.0047
246,2030,2030,21,-0.00414
246,2031,2031,21,-0.00602
246,2032,2032,21,-0.00664
246,2033,2033,21,-0.00543
246,2034,2034,21,-0.00435
246,2035,2035,21,-0.00276
246,2036,2036,21,-0.00229
246,2037,2037,21,-0.00417
246,2038,2038,21,-0.00116
246,2039,2039,21,-0.00059
246,2040,2040,21,0.00146
246,2041,2041,21,0.00026
246,2042,2042,21,-0.00213
246,2043,2043,21,-0.00213
246,2044,2044,21,-0.00111
246,2045,2045,21,-0.005
246,2046,2046,21,-0.00052
246,2047,2047,21,-0.00155
246,2048,2048,21,-0.00382
246,2049,2049,21,-0.00267
246,2050,2050,21,-0.00045
246,2051,2051,21,0.00057
246,2052,2052,21,0.00138
246,2053,2053,21,0.00052
246,2054,2054,21,-0.00272
246,2055,2055,21,3e-05
246,2056,2056,21,-0.00284
246,2057,2057,21,-0.00277
246,2058,2058,21,-0.00715
246,2059,2059,21,-0.00583
246,2060,2060,21,-0.00649
246,2061,2061,21,-0.00304
246,2062,2062,21,-0.00533
246,2063,2063,21,-0.00114
246,2064,2064,21,-0.00184
246,2065,2065,21,0.00076
246,2066,2066,21,-0.00057
246,2067,2067,21,-0.00193
246,2068,2068,21,-0.00258
246,2069,2069,21,-0.00258
246,2070,2070,21,-0.00225
246,2071,2071,21,-0.0025
246,2072,2072,21,-0.00249
246,2073,2073,21,-0.00384
246,2074,2074,21,-0.00426
246,2075,2075,21,-0.0039
246,2076,2076,21,-0.00473
246,2077,2077,21,-0.0051
246,2078,2078,21,-0.00526
246,2079,2079,21,0.00058
246,2080,2080,21,0.00123
246,2081,2081,21,-8e-04
246,2082,2082,21,-0.00146
246,2083,2083,21,-0.00209
246,2084,2084,21,0.00105
246,2085,2085,21,-0.0026
246,2086,2086,21,-0.00036
246,2087,2087,21,-0.00098
246,2088,2088,21,-0.00067
246,2089,2089,21,-0.00059
246,2090,2090,21,-0.00231
246,2091,2091,21,-0.00049
246,2092,2092,21,0.00265
246,2093,2093,21,0.00067
246,2094,2094,21,0.00378
246,2095,2095,21,0.00549
246,2096,2096,21,0.00132
246,2097,2097,21,0.00074
246,2098,2098,21,0.00042
246,2099,2099,21,-0.00073
246,2100,2100,21,-0.00401
246,2023,2023,42,0.00685
246,2024,2024,42,0.00258
246,2025,2025,42,0.0025
246,2026,2026,42,-9e-05
246,2027,2027,42,-5e-04
246,2028,2028,42,0.0022
246,2029,2029,42,0.00302
246,2030,2030,42,0.0034
246,2031,2031,42,0.00231
246,2032,2032,42,0.00065
246,2033,2033,42,0.00015
246,2034,2034,42,-9e-05
246,2035,2035,42,0.00045
246,2036,2036,42,0.00089
246,2037,2037,42,0.00012
246,2038,2038,42,0.00227
246,2039,2039,42,-7e-04
246,2040,2040,42,-7e-05
246,2041,2041,42,-0.00178
246,2042,2042,42,-0.00034
246,2043,2043,42,5e-05
246,2044,2044,42,-0.00021
246,2045,2045,42,0.00156
246,2046,2046,42,0.00282
246,2047,2047,42,0.00098
246,2048,2048,42,0.00257
246,2049,2049,42,0.00216
246,2050,2050,42,0.00067
246,2051,2051,42,0.00048
246,2052,2052,42,4e-05
246,2053,2053,42,-0.00176
246,2054,2054,42,0.00157
246,2055,2055,42,0.00049
246,2056,2056,42,0.00155
246,2057,2057,42,0.00277
246,2058,2058,42,0.00048
246,2059,2059,42,0.00063
246,2060,2060,42,0.00259
246,2061,2061,42,-3e-05
246,2062,2062,42,0.00108
246,2063,2063,42,0.00165
246,2064,2064,42,0.00252
246,2065,2065,42,0.00471
246,2066,2066,42,0.00675
246,2067,2067,42,0.00636
246,2068,2068,42,0.00572
246,2069,2069,42,0.00369
246,2070,2070,42,0.00316
246,2071,2071,42,0.00193
246,2072,2072,42,0.00545
246,2073,2073,42,0.00289
246,2074,2074,42,9e-04
246,2075,2075,42,0.00153
246,2076,2076,42,0.00254
246,2077,2077,42,0.00261
246,2078,2078,42,0.00225
246,2079,2079,42,0.00112
246,2080,2080,42,-0.00051
246,2081,2081,42,0.00101
246,2082,2082,42,0.00278
246,2083,2083,42,0.00301
246,2084,2084,42,0.00129
246,2085,2085,42,0.0027
246,2086,2086,42,0.00177
246,2087,2087,42,0.00064
246,2088,2088,42,0.00174
246,2089,2089,42,0.00103
246,2090,2090,42,0.00034
246,2091,2091,42,-0.00159
246,2092,2092,42,-6e-04
246,2093,2093,42,-0.00017
246,2094,2094,42,0.00391
246,2095,2095,42,0.00309
246,2096,2096,42,-0.00055
246,2097,2097,42,0.00043
246,2098,2098,42,0.00178
246,2099,2099,42,0.00335
246,2100,2100,42,0.00335
246,2023,2023,62,0.00685
246,2024,2024,62,0.00347
246,2025,2025,62,0.00404
246,2026,2026,62,0.0021
246,2027,2027,62,-0.00175
246,2028,2028,62,0.00245
246,2029,2029,62,0.00248
246,2030,2030,62,0.00486
246,2031,2031,62,0.00889
